segment_index,lang,start_sec,end_sec,duration_sec,final_text
0,english,0.000,0.610,0.610,Vishwan Miriam.
1,hindi,0.610,8.310,7.700,"मेरी आँख के सामने जो चीज़े हैं, वो ही मुझे मोटिवेट करते रहती है, दूसरा,"
2,hindi,10.030,15.230,5.200,जो जिम्मेबारी देशवास्वे ने मुझे दी है।
3,hindi,15.760,19.280,3.520,कि मैं पद पर मौज मस्ती करने के लिए नहीं आया।
4,hindi,20.720,25.430,4.710,"मेरी जरब से मैं पुरा प्रहास करूँगा, हो सकता में दो काम नहीं बग कर पाऊं,"
5,hindi,26.040,28.270,2.230,लेकिन मेरे प्रयास पर कमी नहीं रहेगी
6,hindi,42.000,51.750,9.750,"मैंने कह देशवासियों को वादा करता हूँ, कि मैn कभी बी परिश्रम करने में पीछे नहीं रहूंगा।"
7,hindi,52.870,54.300,1.430,"दूसरा मैं कहता था,"
8,hindi,55.250,58.720,3.470,कि मैं बद इरादे से कोई काम नहीं करूँगा
9,hindi,60.180,61.540,1.360,"और तीसरा मैं कहता था,"
10,hindi,62.090,63.880,1.790,मेरे लिए मैं कुछ नहीं करूँगा
11,hindi,64.910,66.880,1.970,आज मुझे 24 साल हो गए
12,hindi,67.710,69.910,2.200,इतने लंबे कालखन से मैं
13,english,70.220,86.840,16.620,The head of the government has given me work. I have weighed myself on these three pillars. And I do that. So my inspiration is 1.4 billion people.
14,hindi,86.930,88.140,1.210,लोगों की सेवा
15,hindi,89.190,93.580,4.390,"उनके एस्पिरेशन, उंकी आवशक्ता है।"
16,hindi,95.020,101.230,6.210,"जितनी मेहनत कर सकूँ, जीतना करसको, मैं करने के मुड़ में, आज भी मैरी उर्जा वो ही है,"
17,english,102.070,122.070,20.000,"Me, as an engineer, as a person who loves mathematics, I have to ask. Srinivasa Ramanujan is an Indian mathematician from a century ago. He's widely considered to be one of the greatest mathematicians of all time, self-taught, grew up in poverty. You have often spoken about him."
18,english,122.070,141.830,19.760,What do you find inspiring about him? Science and spirituality are very connected.
19,english,146.090,148.350,2.260,says Scientific Advanced Minds.
20,english,151.580,152.910,1.330,spiritually advanced
21,english,154.400,155.540,1.140,So I got up and knew it.
22,hindi,155.540,156.350,0.810,हुआ था
23,hindi,156.920,159.530,2.610,स्री निवास रमानुजम कहते थे कि उन्हें
24,hindi,163.490,167.060,3.570,उद्देवी से आते हैं जिसकी वो पूजा करते
25,english,179.930,193.130,13.200,"Khud ko devote kardena, khud ko khapa dena, svayam hi jase wo karya ka roop banjaya hai. Aur hum knowledge ke jitne jyada"
26,english,193.890,194.240,0.350,Thank you.
27,hindi,202.130,207.310,5.180,knowledge के बीच में फर्क करने से भी समझना चाहिए करें कुछ लोग information को knowledge मानते हैं
28,hindi,219.770,222.330,2.560,सिंग्ग के बाद धिरे-धीरे इवॉल्व होती
29,hindi,223.340,224.370,1.030,और उसको हमने
30,english,229.050,249.050,20.000,"You have a reputation for being a decisive leader. So can you walk me through on this topic of ideas, how you make decisions, what's your process? So for instance, when facing a high stakes choice with no clear precedence, you know, a lot of uncertainty, having to balance a"
31,english,249.050,251.500,2.450,"input, how do you make decisions?"
32,hindi,259.430,262.360,2.930,शायद हिंदुस्तान में मैं एक ऐसा पोलिटिशन हूँ
33,hindi,263.710,265.440,1.730,जो मेरे देश के हैं
34,english,267.334,269.794,2.460,85 to 90% distance
35,hindi,282.150,285.560,3.410,"उससे जो मैंने पाया है, वो जब सिखा हुआ है।"
36,hindi,286.360,288.280,1.920,तो मेरे पास वो एक बहुत बड़ा
37,hindi,288.940,293.040,4.100,चीजों को ग्रास्रूट लेवल पर स्थितियों
38,english,304.240,309.230,4.990,"From the perspective of governance, I don't have any kind of baggage."
39,hindi,309.230,309.960,0.730,नहीं है।
40,hindi,321.120,331.230,10.110,मेरा देश सबसे पहले मैं जो कर रहा हूँ वेरे दिश का नुक्षान तो नहीं हो रखा है
41,hindi,333.160,335.080,1.920,दूसरा हमारी या महत्मा गांधी कहते थे
42,hindi,335.970,353.840,17.870,कि तुम्हें कोई निर्णे करते हैं समय को उल्जन हो तो किसी गरीपे चेहरा देख लो इनको याद करो और सोचो वे उसके काम आएगा क्या तब नेड़े स
43,hindi,354.690,356.450,1.760,"दूसरे प्रक्रियाजे सहातर कहें,"
44,hindi,356.940,361.750,4.810,कि मैं बहुत ही बैल कनेक्टेड हूँ मेरी सरकान में
45,hindi,362.540,364.010,1.470,मेरे अफसरों को ये
46,hindi,365.850,367.590,1.740,को मेरे प्रते इर्शा भी होती ओगी।
47,hindi,368.520,373.840,5.320,"और उनको तकलीब भी होती हुगी, औड़ वो है, मेरे"
48,english,373.840,375.420,1.580,your information channel
49,hindi,375.420,376.200,0.780,बहुत है
50,hindi,376.610,378.010,1.400,और वो लाई हुए
51,hindi,387.070,390.010,2.940,तो मुझे कोई आकर के ब्रीप करें
52,hindi,392.540,410.310,17.770,"प्रश्न नहीं होते हैं, मेरे पास एक दूसरे"
53,hindi,410.980,412.220,1.240,फिर क्या है
54,hindi,415.140,419.520,4.380,है तो मैं डेविल एरगोर्केट बंद करके उल्टे प्रश्न पूछता हूं
55,hindi,420.960,431.080,10.120,उसको बहुत बारी किसे एलेक प्रकरते मन्थन करना पड़ता है तो ऐसा कर ने से अमृत निकले हैं इस पर कहा कि मेरे कोशिश हैती है
56,hindi,434.000,449.830,15.830,"दूसरा मैं जब निर्णाई लेता हूँ, मुझे लगता एक हाँ ये करने जाता, तो फिर में सहमना जो लोग हैं, मेरे विचारों को उनको शेर करके हलके फ"
57,hindi,450.870,453.460,2.590,उनके भी रियक्शन देखता हूँ कि ये निर्णा का क्या होगा
58,hindi,456.350,462.350,6.000,और मुझे फिर जब conviction बन जाए
59,english,466.900,470.870,3.970,"process, it doesn't take that much time. My speed is"
60,hindi,476.000,481.950,5.950,"मैं कैसे निर्णा लिये, अब मुझे ये Nobel Prize विनर मिलते हैं,"
61,hindi,484.650,486.420,1.770,में भागबाद के मुझे उदान देते थे
62,hindi,496.020,498.850,2.830,"कल पार्टिया मुझे प्रिशर करती थी, इतना पैसा दे दो,"
63,hindi,500.150,520.150,20.000,मैं कुछ करता नहीं था और फिर मेरी अपनी देश की परिस्थिति के अनुसार को निलने की है।
64,hindi,520.150,522.490,2.340,के लिए समाजिक तनाव पैदा नहीं होने दूँगा।
65,hindi,522.920,525.020,2.100,ऐसे कुछ मेरे मन में भावकताए हुये
66,hindi,527.680,532.380,4.700,"लोग डाउन में पड़ी थी, इकणां भी पूरी तरह दुनिया की बैट चुकी ठी,"
67,english,548.150,568.150,20.000,"I had heard the opinions of experts. I tried to understand them. I did not oppose them. But I have combined my country's situation, my own experience, all of them, mixed them up and developed the things and the system that is there."
68,english,568.150,571.400,3.250,"Because of this, the inflation that the world"
69,english,573.080,575.230,2.150,"immediately after COVID,"
70,hindi,585.260,599.330,14.070,में तेज गती से प्रगधी करने वाला है उसका मूल कारण
